key,name,desc,price,sku,brands,category,icon,image
acc-ddock,Dell WD22TB4 Thunderbolt 4 Dock,"180W power delivery, 2x TB4, 3x USB-A 3.2, HDMI 2.0, 2.5GbE LAN. Ideal for dual-monitor setups.",299,DOCK-DWD22TB4,dell,docking,bi-hdd-rack,https://placehold.co/200x140/f1f5f9/1B3139?text=Dell+TB4+Dock
acc-hdock,HP Thunderbolt Dock G4 135W,"135W charging, 2x TB4, 4x USB-A, HDMI 2.0, RJ-45. HP-certified for EliteBook and ZBook.",279,DOCK-HPTBG4,hp,docking,bi-hdd-rack,https://placehold.co/200x140/f1f5f9/1B3139?text=HP+TB+Dock+G4
acc-uhub,Universal USB-C Hub 7-in-1,"4K HDMI, 2x USB-A 3.0, USB-C 87W PD, SD/TF card slots. Works with any USB-C laptop.",79,HUB-USBC7,dell|hp,docking,bi-usb-plug,https://placehold.co/200x140/f1f5f9/1B3139?text=USB-C+Hub+7-in-1
acc-dmon27,Dell 27in USB-C Monitor (P2723DE),"27in QHD IPS, USB-C 90W, 4x USB-A, RJ-45, height/tilt/pivot adjustable stand.",449,MON-DP2723DE,dell|hp,display,bi-display,https://placehold.co/200x140/f1f5f9/1B3139?text=Dell+27in+Monitor
acc-hmon24,HP 24in FHD Monitor (E24 G5),"24in FHD IPS, 75Hz, 3x USB-A, HDMI, DP, ergonomic stand. Business-grade build quality.",249,MON-HPE24G5,dell|hp,display,bi-display,https://placehold.co/200x140/f1f5f9/1B3139?text=HP+24in+Monitor
acc-hmon27,HP 27in QHD Monitor (E27q G5),"27in QHD IPS, 75Hz, USB-C 65W, 2x USB-A, HDMI, DP. Colour-calibrated from factory.",389,MON-HPE27QG5,dell|hp,display,bi-display,https://placehold.co/200x140/f1f5f9/1B3139?text=HP+27in+QHD
acc-kbd,Logitech MX Keys Advanced Keyboard,"Backlit, multi-device (3 devices), smart illumination, USB-C charging, 2-year battery.",109,KB-LGMXKEYS,dell|hp,peripherals,bi-keyboard,https://placehold.co/200x140/f1f5f9/1B3139?text=MX+Keys
acc-mse,Logitech MX Master 3S Mouse,"Ultra-smooth MagSpeed scroll, 8000 DPI, multi-device, quiet clicks, USB-C.",99,MS-LGMXM3S,dell|hp,peripherals,bi-mouse2,https://placehold.co/200x140/f1f5f9/1B3139?text=MX+Master+3S
acc-hdst,Jabra Evolve2 55 Wireless Headset,"ANC, Teams/UC certified, 36-hour battery, professional microphone, USB-A dongle.",299,HS-JBR-EV255,dell|hp,peripherals,bi-headset,https://placehold.co/200x140/f1f5f9/1B3139?text=Jabra+Evolve2+55
acc-bag,Targus 15.6in CitySmart Pro Backpack,"Checkpoint-friendly, RFID protection, USB-A pass-through, fits up to 15.6in laptops.",69,BAG-TRG156P,dell|hp,carry,bi-bag,https://placehold.co/200x140/f1f5f9/1B3139?text=Targus+Backpack
acc-wrn,3-Year Extended Warranty (On-site Next Business Day),Extends manufacturer warranty to 3 years. On-site NBD technician dispatch included.,229,WRN-ONS3YR,dell|hp,services,bi-shield-check,https://placehold.co/200x140/f1f5f9/1B3139?text=3yr+Warranty
acc-lock,Kensington MicroSaver 2.0 Security Lock,"K-Slot compatible, 1.8m carbon-steel cable, keyed lock, resettable combination.",29,SEC-KMS20,dell|hp,security,bi-lock,https://placehold.co/200x140/f1f5f9/1B3139?text=Security+Lock
acc-webcam,Logitech Brio 305 Full HD Webcam,"1080p/30fps, auto light correction, USB-C, privacy shutter, certified for Teams/Zoom.",89,CAM-LGBR305,dell|hp,peripherals,bi-camera-video,https://placehold.co/200x140/f1f5f9/1B3139?text=Brio+305
