id,subId,customer,product,type,start,end,status,amount
ORD-2023-0001,SUB-ACM-001,Acme Corporation,Argus XDR × 15,new_purchase,2023-01-15,2026-01-14,expired,675
ORD-2023-0002,SUB-ACM-002,Acme Corporation,Aegis Mobile Agent × 15,new_purchase,2023-01-15,2024-01-14,expired,90
ORD-2023-0003,SUB-ACM-003,Acme Corporation,Argus XDR Forensics Add-on × 1,new_purchase,2023-01-15,2024-01-14,expired,8500
ORD-2023-0004,SUB-SUN-001,Sunrise Media Group,Aegis Endpoint Protection × 8,new_purchase,2023-02-01,2026-01-31,expired,368
ORD-2023-0005,SUB-SUN-002,Sunrise Media Group,Argus XDR Forensics Add-on × 1,new_purchase,2023-02-01,2024-01-31,expired,8500
ORD-2023-0006,SUB-BLU-001,BlueCrest Engineering,SentryWall 3200 × 5,new_purchase,2023-02-15,2026-02-14,expired,46000
ORD-2023-0007,SUB-BLU-002,BlueCrest Engineering,Vantage Threat Intelligence Feed × 1,new_purchase,2023-02-15,2024-02-14,expired,25000
ORD-2023-0008,SUB-BLU-003,BlueCrest Engineering,Sentinel Mail Archiving Add-on × 5,add_on,2023-02-20,,active,32.5
ORD-2023-0009,SUB-DAT-001,DataFlow Analytics,SentryWall 3200 × 4,new_purchase,2023-03-01,2026-02-28,active,36800
ORD-2023-0010,SUB-DAT-002,DataFlow Analytics,SentryWall Central Manager × 4,new_purchase,2023-03-01,,active,26000
ORD-2023-0011,SUB-MER-001,Meridian Finance Ltd,Aegis Endpoint Protection × 20,new_purchase,2023-03-15,2026-03-14,active,920
ORD-2023-0012,SUB-MER-002,Meridian Finance Ltd,Aegis Mobile Agent × 20,new_purchase,2023-03-15,2024-03-14,expired,120
ORD-2023-0013,SUB-MER-003,Meridian Finance Ltd,Sentinel Mail Archiving Add-on × 20,new_purchase,2023-03-15,2024-03-14,expired,130
ORD-2023-0014,SUB-GLE-001,GlobalEdge Technologies,Argus XDR × 30,new_purchase,2023-04-01,2026-03-31,active,1350
ORD-2023-0015,SUB-GLE-002,GlobalEdge Technologies,Aegis Mobile Agent × 30,new_purchase,2023-04-01,2024-03-31,expired,180
ORD-2023-0016,SUB-GLE-003,GlobalEdge Technologies,SentryWall Virtual Edition × 30,new_purchase,2023-04-01,,active,102000
ORD-2023-0017,SUB-IND-001,IndieArt Studios,IronGate VPN Concentrator 500 × 4,new_purchase,2023-04-15,2026-04-14,active,23600
ORD-2023-0018,SUB-IND-002,IndieArt Studios,BastionSIEM Connector × 4,new_purchase,2023-04-15,2024-04-14,expired,18000
ORD-2023-0019,SUB-IND-003,IndieArt Studios,Argus XDR Forensics Add-on × 1,add_on,2023-04-20,,active,8500
ORD-2023-0020,SUB-QTM-001,QuantumLabs Research,SentryWall 7400 × 6,new_purchase,2023-05-01,2026-04-30,active,159000
ORD-2023-0021,SUB-QTM-002,QuantumLabs Research,CloudWarden CSPM × 1,new_purchase,2023-05-01,2024-04-30,expired,16500
ORD-2023-0022,SUB-VRT-001,Vertigo Consulting,Sentinel Mail Security × 10,new_purchase,2023-05-15,2026-05-14,active,200
ORD-2023-0023,SUB-VRT-002,Vertigo Consulting,Aegis Mobile Agent × 10,new_purchase,2023-05-15,2024-05-14,expired,60
ORD-2023-0024,SUB-HBV-001,Harbor View Corp,Aegis Endpoint Protection × 12,new_purchase,2023-06-01,2026-05-31,active,552
ORD-2023-0025,SUB-HBV-002,Harbor View Corp,Argus XDR Forensics Add-on × 1,new_purchase,2023-06-01,2024-05-31,expired,8500
ORD-2023-0026,SUB-PAC-001,Pacific Rim Logistics,Argus XDR × 18,new_purchase,2023-06-15,2026-06-14,active,810
ORD-2023-0027,SUB-PAC-002,Pacific Rim Logistics,SentryWall Virtual Edition × 18,new_purchase,2023-06-15,,active,61200
ORD-2023-0028,SUB-NVL-001,NewVenture LLC,Meridian SASE × 5,new_purchase,2023-07-01,2026-06-30,active,125
ORD-2023-0029,SUB-NVL-002,NewVenture LLC,Aegis Mobile Agent × 5,new_purchase,2023-07-01,2024-06-30,expired,30
ORD-2023-0030,SUB-APX-001,Apex Systems Inc,Argus XDR × 25,new_purchase,2023-07-15,2026-07-14,active,1125
ORD-2023-0031,SUB-APX-002,Apex Systems Inc,Aegis Mobile Agent × 25,new_purchase,2023-07-15,2024-07-14,expired,150
ORD-2023-0032,SUB-CLH-001,Clearwater Health,Aegis Endpoint Protection × 14,new_purchase,2023-08-01,2026-07-31,active,644
ORD-2023-0033,SUB-CLH-002,Clearwater Health,Sentinel Mail Archiving Add-on × 14,new_purchase,2023-08-01,2024-07-31,expired,91
ORD-2023-0034,SUB-IRN-001,Ironbridge Capital,Argus XDR × 22,new_purchase,2023-08-15,2026-08-14,active,990
ORD-2023-0035,SUB-IRN-002,Ironbridge Capital,Aegis Mobile Agent × 22,new_purchase,2023-08-15,2024-08-14,expired,132
ORD-2023-0036,SUB-NVT-001,NovaTech Solutions,Sentinel Mail Security × 8,new_purchase,2023-09-01,2026-08-31,active,160
ORD-2023-0037,SUB-NVT-002,NovaTech Solutions,SentryWall Central Manager × 4,new_purchase,2023-09-01,,active,26000
ORD-2023-0038,SUB-SKY-001,Skyline Architects,SentryWall 3200 × 6,new_purchase,2023-09-15,2026-09-14,active,55200
ORD-2023-0039,SUB-SKY-002,Skyline Architects,Vantage Threat Intelligence Feed × 1,new_purchase,2023-09-15,2024-09-14,expired,25000
ORD-2023-0040,SUB-FUS-001,Fusion Marketing,Aegis Endpoint Protection × 9,new_purchase,2023-10-01,2026-09-30,active,414
ORD-2023-0041,SUB-FUS-002,Fusion Marketing,Argus XDR Forensics Add-on × 1,new_purchase,2023-10-01,2024-09-30,expired,8500
ORD-2023-0042,SUB-CRW-001,CrestWave Finance,Aegis Endpoint Protection × 16,new_purchase,2023-10-15,2026-10-14,active,736
ORD-2023-0043,SUB-CRW-002,CrestWave Finance,SentryWall Virtual Edition × 16,new_purchase,2023-10-15,,active,54400
ORD-2023-0044,SUB-PAX-001,Parallax Studios,IronGate VPN Concentrator 500 × 3,new_purchase,2023-11-01,2026-10-31,active,17700
ORD-2023-0045,SUB-PAX-002,Parallax Studios,BastionSIEM Connector × 3,new_purchase,2023-11-01,2024-10-31,expired,13500
ORD-2023-0046,SUB-RDG-001,Ridgeline Consulting,Meridian SASE × 7,new_purchase,2023-11-15,2026-11-14,active,175
ORD-2023-0047,SUB-MTM-001,Momentum Creative,SentryWall 7400 × 2,new_purchase,2023-12-01,2026-11-30,active,53000
ORD-2023-0048,SUB-SFX-001,SoloFX Studio,SentryWall 3200 × 1,new_purchase,2023-12-01,2026-11-30,active,9200
ORD-2023-0049,SUB-CST-001,Coastal Properties,Aegis Endpoint Protection × 6,new_purchase,2023-12-15,2026-12-14,active,276
ORD-2023-0050,SUB-RED-001,Redstone Partners,Argus XDR × 4,new_purchase,2023-12-15,2026-12-14,active,180
ORD-2024-0001,SUB-ACM-004,Acme Corporation,Argus XDR × 10,renewal,2024-01-15,2027-01-14,active,450
ORD-2024-0002,SUB-ACM-005,Acme Corporation,Aegis Mobile Agent × 15,renewal,2024-01-15,2025-01-14,expired,90
ORD-2024-0003,SUB-ACM-006,Acme Corporation,Argus XDR Forensics Add-on × 1,renewal,2024-01-15,2025-01-14,expired,8500
ORD-2024-0004,SUB-SUN-003,Sunrise Media Group,Aegis Endpoint Protection × 5,new_purchase,2024-02-01,2027-01-31,active,230
ORD-2024-0005,SUB-SUN-004,Sunrise Media Group,Argus XDR Forensics Add-on × 1,renewal,2024-02-01,2025-01-31,expired,8500
ORD-2024-0006,SUB-SUN-005,Sunrise Media Group,CloudWarden CSPM × 1,add_on,2024-02-10,2027-02-09,active,16500
ORD-2024-0007,SUB-BLU-004,BlueCrest Engineering,IronGate VPN Concentrator 500 × 3,new_purchase,2024-02-15,2027-02-14,active,17700
ORD-2024-0008,SUB-BLU-005,BlueCrest Engineering,Vantage Threat Intelligence Feed × 1,renewal,2024-02-15,2025-02-14,expired,25000
ORD-2024-0009,SUB-BLU-006,BlueCrest Engineering,CloudWarden CSPM × 1,new_purchase,2024-03-01,2025-02-28,expired,16500
ORD-2024-0010,SUB-DAT-003,DataFlow Analytics,SentryWall 3200 × 2,new_purchase,2024-03-01,2027-02-28,active,18400
ORD-2024-0011,SUB-DAT-004,DataFlow Analytics,SentryWall Central Manager × 4,renewal,2024-03-01,2025-02-28,expired,26000
ORD-2024-0012,SUB-MER-004,Meridian Finance Ltd,Aegis Endpoint Protection × 15,new_purchase,2024-03-15,2027-03-14,active,690
ORD-2024-0013,SUB-MER-005,Meridian Finance Ltd,Aegis Mobile Agent × 20,renewal,2024-03-15,2025-03-14,expired,120
ORD-2024-0014,SUB-MER-006,Meridian Finance Ltd,CloudWarden CSPM × 1,add_on,2024-03-20,,active,16500
ORD-2024-0015,SUB-GLE-004,GlobalEdge Technologies,Argus XDR × 20,new_purchase,2024-04-01,2027-03-31,active,900
ORD-2024-0016,SUB-GLE-005,GlobalEdge Technologies,Aegis Mobile Agent × 30,renewal,2024-04-01,2025-03-31,expired,180
ORD-2024-0017,SUB-IND-004,IndieArt Studios,BastionSIEM Connector × 5,renewal,2024-04-15,2025-04-14,active,22500
ORD-2024-0018,SUB-IND-005,IndieArt Studios,IronGate VPN Concentrator 500 × 1,new_purchase,2024-04-15,2027-04-14,active,5900
ORD-2024-0019,SUB-QTM-003,QuantumLabs Research,SentryWall 3200 × 4,new_purchase,2024-05-01,2027-04-30,active,36800
ORD-2024-0020,SUB-QTM-004,QuantumLabs Research,CloudWarden CSPM × 1,renewal,2024-05-01,2025-04-30,active,16500
ORD-2024-0021,SUB-VRT-003,Vertigo Consulting,Sentinel Mail Security × 8,new_purchase,2024-05-15,2027-05-14,active,160
ORD-2024-0022,SUB-VRT-004,Vertigo Consulting,Aegis Mobile Agent × 10,renewal,2024-05-15,2025-05-14,active,60
ORD-2024-0023,SUB-HBV-003,Harbor View Corp,Aegis Endpoint Protection × 10,new_purchase,2024-06-01,2027-05-31,active,460
ORD-2024-0024,SUB-HBV-004,Harbor View Corp,Argus XDR Forensics Add-on × 1,renewal,2024-06-01,2025-05-31,active,8500
ORD-2024-0025,SUB-PAC-003,Pacific Rim Logistics,Argus XDR × 12,new_purchase,2024-06-15,2027-06-14,active,540
ORD-2024-0026,SUB-PAC-004,Pacific Rim Logistics,CloudWarden CSPM × 1,add_on,2024-06-20,,active,16500
ORD-2024-0027,SUB-NVL-003,NewVenture LLC,Argus XDR × 5,new_purchase,2024-07-01,2027-06-30,active,225
ORD-2024-0028,SUB-NVL-004,NewVenture LLC,Aegis Mobile Agent × 5,renewal,2024-07-01,2025-06-30,active,30
ORD-2024-0029,SUB-APX-003,Apex Systems Inc,Meridian SASE × 20,new_purchase,2024-07-15,2027-07-14,active,500
ORD-2024-0030,SUB-APX-004,Apex Systems Inc,SentryWall Virtual Edition × 25,renewal,2024-07-15,,active,85000
ORD-2024-0031,SUB-CLH-003,Clearwater Health,Aegis Endpoint Protection × 10,new_purchase,2024-08-01,2027-07-31,active,460
ORD-2024-0032,SUB-CLH-004,Clearwater Health,Sentinel Mail Archiving Add-on × 14,renewal,2024-08-01,2025-07-31,active,91
ORD-2024-0033,SUB-IRN-003,Ironbridge Capital,Argus XDR × 18,renewal,2024-08-15,2027-08-14,active,810
ORD-2024-0034,SUB-IRN-004,Ironbridge Capital,Aegis Mobile Agent × 22,renewal,2024-08-15,2025-08-14,active,132
ORD-2024-0035,SUB-NVT-003,NovaTech Solutions,Sentinel Mail Security × 6,new_purchase,2024-09-01,2027-08-31,active,120
ORD-2024-0036,SUB-NVT-004,NovaTech Solutions,SentryWall Central Manager × 6,new_purchase,2024-09-01,,active,39000
ORD-2024-0037,SUB-SKY-003,Skyline Architects,SentryWall 3200 × 4,new_purchase,2024-09-15,2027-09-14,active,36800
ORD-2024-0038,SUB-SKY-004,Skyline Architects,Vantage Threat Intelligence Feed × 1,renewal,2024-09-15,2025-09-14,active,25000
ORD-2024-0039,SUB-FUS-003,Fusion Marketing,Aegis Endpoint Protection × 6,new_purchase,2024-10-01,2027-09-30,active,276
ORD-2024-0040,SUB-FUS-004,Fusion Marketing,Argus XDR Forensics Add-on × 1,renewal,2024-10-01,2025-09-30,active,8500
ORD-2024-0041,SUB-CRW-003,CrestWave Finance,Aegis Endpoint Protection × 12,new_purchase,2024-10-15,2027-10-14,active,552
ORD-2024-0042,SUB-CRW-004,CrestWave Finance,Vantage Threat Intelligence Feed × 1,new_purchase,2024-10-15,2025-10-14,active,25000
ORD-2024-0043,SUB-PAX-003,Parallax Studios,IronGate VPN Concentrator 500 × 3,renewal,2024-10-15,2027-10-14,active,17700
ORD-2024-0044,SUB-PAX-004,Parallax Studios,BastionSIEM Connector × 3,renewal,2024-10-15,2025-10-14,active,13500
ORD-2024-0045,SUB-RDG-002,Ridgeline Consulting,Meridian SASE × 4,new_purchase,2024-11-01,2027-10-31,active,100
ORD-2024-0046,SUB-RDG-003,Ridgeline Consulting,Aegis Mobile Agent × 7,new_purchase,2024-11-01,2025-10-31,active,42
ORD-2024-0047,SUB-MTM-002,Momentum Creative,SentryWall 7400 × 3,new_purchase,2024-11-15,2027-11-14,active,79500
ORD-2024-0048,SUB-MTM-003,Momentum Creative,BastionSIEM Connector × 5,new_purchase,2024-11-15,2025-11-14,active,22500
ORD-2024-0049,SUB-SFX-002,SoloFX Studio,IronGate VPN Concentrator 500 × 1,new_purchase,2024-11-20,2027-11-19,active,5900
ORD-2024-0050,SUB-CST-002,Coastal Properties,Aegis Endpoint Protection × 4,new_purchase,2024-12-01,2027-11-30,active,184
ORD-2024-0051,SUB-RED-002,Redstone Partners,Argus XDR × 3,new_purchase,2024-12-01,2027-11-30,cancelled,135
ORD-2024-0052,SUB-ACM-007,Acme Corporation,CloudWarden CSPM × 1,add_on,2024-07-15,,active,16500
ORD-2024-0053,SUB-GLE-006,GlobalEdge Technologies,Argus XDR Forensics Add-on × 1,new_purchase,2024-04-15,2025-04-14,active,8500
ORD-2024-0054,SUB-IRN-005,Ironbridge Capital,Sentinel Mail Archiving Add-on × 22,add_on,2024-08-20,,active,143
ORD-2024-0055,SUB-APX-005,Apex Systems Inc,CloudWarden CSPM × 1,add_on,2024-07-20,2027-07-19,active,16500
ORD-2024-0056,SUB-CLH-005,Clearwater Health,Argus XDR Forensics Add-on × 1,add_on,2024-08-10,,active,8500
ORD-2024-0057,SUB-BLU-007,BlueCrest Engineering,Sentinel Mail Archiving Add-on × 3,add_on,2024-03-10,,active,19.5
ORD-2024-0058,SUB-VRT-005,Vertigo Consulting,Argus XDR Forensics Add-on × 1,add_on,2024-05-20,,active,8500
ORD-2024-0059,SUB-PAC-005,Pacific Rim Logistics,SentryWall Virtual Edition × 18,add_on,2024-07-01,,active,61200
ORD-2024-0060,SUB-MER-007,Meridian Finance Ltd,Sentinel Mail Archiving Add-on × 20,renewal,2024-03-15,2025-03-14,expired,130
ORD-2024-0061,SUB-QTM-005,QuantumLabs Research,SentryWall 7400 × 2,new_purchase,2024-05-15,2027-05-14,active,53000
ORD-2024-0062,SUB-SKY-005,Skyline Architects,CloudWarden CSPM × 1,new_purchase,2024-09-20,2025-09-19,active,16500
ORD-2024-0063,SUB-NVT-005,NovaTech Solutions,Meridian SASE × 5,new_purchase,2024-09-05,2027-09-04,active,125
ORD-2024-0064,SUB-HBV-005,Harbor View Corp,Argus XDR Forensics Add-on × 1,add_on,2024-06-10,,active,8500
ORD-2024-0065,SUB-FUS-005,Fusion Marketing,BastionSIEM Connector × 4,new_purchase,2024-10-10,2025-10-09,active,18000
ORD-2024-0066,SUB-CRW-005,CrestWave Finance,Argus XDR Forensics Add-on × 1,new_purchase,2024-10-20,2025-10-19,active,8500
ORD-2024-0067,SUB-RDG-004,Ridgeline Consulting,Sentinel Mail Archiving Add-on × 7,add_on,2024-11-05,,active,45.5
ORD-2024-0068,SUB-CST-003,Coastal Properties,Argus XDR Forensics Add-on × 1,new_purchase,2024-12-05,2025-12-04,active,8500
ORD-2024-0069,SUB-PAX-005,Parallax Studios,SentryWall 7400 × 1,new_purchase,2024-10-20,2027-10-19,active,26500
ORD-2024-0070,SUB-MTM-004,Momentum Creative,Argus XDR Forensics Add-on × 1,add_on,2024-11-20,,active,8500
ORD-2024-0071,SUB-SFX-003,SoloFX Studio,BastionSIEM Connector × 1,new_purchase,2024-11-20,2025-11-19,active,4500
ORD-2024-0072,SUB-ACM-008,Acme Corporation,CloudWarden CSPM × 1,add_on,2024-07-20,2027-01-14,active,16500
ORD-2024-0073,SUB-BLU-008,BlueCrest Engineering,IronGate VPN Concentrator 500 × 2,new_purchase,2024-03-05,2027-03-04,active,11800
ORD-2024-0074,SUB-DAT-005,DataFlow Analytics,Sentinel Mail Archiving Add-on × 8,new_purchase,2024-03-10,2025-03-09,expired,52
ORD-2024-0075,SUB-NVL-005,NewVenture LLC,Meridian SASE × 3,new_purchase,2024-07-10,2027-07-09,active,75
ORD-2024-0076,SUB-RED-003,Redstone Partners,Sentinel Mail Security × 4,new_purchase,2024-12-10,2027-12-09,pending,80
ORD-2024-0077,SUB-IRN-006,Ironbridge Capital,Vantage Threat Intelligence Feed × 1,new_purchase,2024-09-01,2025-08-31,active,25000
ORD-2024-0078,SUB-CLH-006,Clearwater Health,Vantage Threat Intelligence Feed × 1,new_purchase,2024-08-15,2025-08-14,active,25000
ORD-2024-0079,SUB-GLE-007,GlobalEdge Technologies,Sentinel Mail Archiving Add-on × 30,add_on,2024-04-10,,active,195
ORD-2024-0080,SUB-SKY-006,Skyline Architects,Sentinel Mail Archiving Add-on × 6,add_on,2024-09-20,,active,39
ORD-2025-0001,SUB-ACM-009,Acme Corporation,Argus XDR × 10,renewal,2025-01-15,2028-01-14,active,450
